,Email Text,Email Type
0,"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
1,"Dear Casey, thank you for your purchase. Your order will be shipped soon.",Safe Email
2,Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email
3,You have a new secure message from your bank. Click here to read it.,Phishing Email
4,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
5,"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
6,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
7,"Hi Alex, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
8,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
9,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
10,"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
11,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
12,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
13,"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
14,"Dear Sam, thank you for your purchase. Your order will be shipped soon.",Safe Email
15,"Hi Morgan, please find the attached report for this month's performance review.",Safe Email
16,"Hi Morgan, please find the attached report for this month's performance review.",Safe Email
17,"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
18,"Hi John, please find the attached report for this month's performance review.",Safe Email
19,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
20,Reminder: Our meeting is scheduled for tomorrow at 10 AM. Please be prepared with your updates.,Safe Email
21,Important: Update your email account settings to avoid service interruption.,Phishing Email
22,You have a new secure message from your bank. Click here to read it.,Phishing Email
23,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
24,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
25,"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
26,"Hi Jordan, please find the attached report for this month's performance review.",Safe Email
27,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
28,"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
29,"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
30,"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
31,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
32,"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
33,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
34,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
35,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
36,Reminder: Our meeting is scheduled for tomorrow at 4 PM. Please be prepared with your updates.,Safe Email
37,Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Phishing Email
38,Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Phishing Email
39,"Hi Taylor, please find the attached report for this month's performance review.",Safe Email
40,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
41,"Dear Jordan, thank you for your purchase. Your order will be shipped soon.",Safe Email
42,"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
43,"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
44,"Hi Drew, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
45,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
46,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
47,"Hi Casey, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
48,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
