id,cleaned_email,isPhishing
1,dear jordan your subscription has been successfully renewed thank you for your continued support,0
2,dear casey thank you for your purchase your order will be shipped soon,0
3,congratulations youve won a  gift card click here to claim your prize,1
4,you have a new secure message from your bank click here to read it,1
5,your package delivery is pending please provide your personal information to confirm delivery,1
6,hi drew it was great meeting you at the conference lets catch up for coffee next week,0
7,your package delivery is pending please provide your personal information to confirm delivery,1
8,hi alex it was great meeting you at the conference lets catch up for coffee next week,0
9,alert unusual login attempt detected verify your account by clicking here,1
10,your subscription is about to expire renew now to continue enjoying our services,1
11,hello alex here is your weekly update on the projects progress please review and provide feedback,0
12,your subscription is about to expire renew now to continue enjoying our services,1
13,your package delivery is pending please provide your personal information to confirm delivery,1
14,dear john we are pleased to inform you about our upcoming webinar register now to secure your spot,0
15,dear sam thank you for your purchase your order will be shipped soon,0
16,hi morgan please find the attached report for this months performance review,0
17,hi morgan please find the attached report for this months performance review,0
18,hi casey just a reminder about the project deadline next friday lets ensure everything is on track,0
19,hi john please find the attached report for this months performance review,0
20,please find attached the minutes from our last meeting let me know if you have any questions,0
21,reminder our meeting is scheduled for tomorrow at  am please be prepared with your updates,0
22,important update your email account settings to avoid service interruption,1
23,you have a new secure message from your bank click here to read it,1
24,please find attached the minutes from our last meeting let me know if you have any questions,0
25,alert unusual login attempt detected verify your account by clicking here,1
26,dear jane your account has been compromised click the link to reset your password immediately,1
27,hi jordan please find the attached report for this months performance review,0
28,welcome to our newsletter stay tuned for the latest updates and offers,0
29,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
30,hi taylor just a reminder about the project deadline next friday lets ensure everything is on track,0
31,hi drew it was great meeting you at the conference lets catch up for coffee next week,0
32,please find attached the minutes from our last meeting let me know if you have any questions,0
33,dear alex your account has been compromised click the link to reset your password immediately,1
34,your package delivery is pending please provide your personal information to confirm delivery,1
35,welcome to our newsletter stay tuned for the latest updates and offers,0
36,welcome to our newsletter stay tuned for the latest updates and offers,0
37,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
38,congratulations youve won a  gift card click here to claim your prize,1
39,congratulations youve won a  gift card click here to claim your prize,1
40,hi taylor please find the attached report for this months performance review,0
41,we noticed some unusual activity in your account log in to review recent transactions,1
42,dear jordan thank you for your purchase your order will be shipped soon,0
43,dear john we are pleased to inform you about our upcoming webinar register now to secure your spot,0
44,hi taylor just a reminder about the project deadline next friday lets ensure everything is on track,0
45,hi drew just a reminder about the project deadline next friday lets ensure everything is on track,0
46,welcome to our newsletter stay tuned for the latest updates and offers,0
47,your package delivery is pending please provide your personal information to confirm delivery,1
48,hi casey it was great meeting you at the conference lets catch up for coffee next week,0
49,your payment has been declined update your billing information to continue using our service,1
50,hi taylor it was great meeting you at the conference lets catch up for coffee next week,0
51,hi john please find the attached report for this months performance review,0
52,we noticed some unusual activity in your account log in to review recent transactions,1
53,hi jane please find the attached report for this months performance review,0
54,hello sam here is your weekly update on the projects progress please review and provide feedback,0
55,hi john just a reminder about the project deadline next friday lets ensure everything is on track,0
56,hi morgan just a reminder about the project deadline next friday lets ensure everything is on track,0
57,dear chris thank you for your purchase your order will be shipped soon,0
58,dear jordan your subscription has been successfully renewed thank you for your continued support,0
59,your payment has been declined update your billing information to continue using our service,1
60,your invoice is attached please review and pay promptly to avoid penalties,1
61,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
62,welcome to our newsletter stay tuned for the latest updates and offers,0
63,important update your email account settings to avoid service interruption,1
64,your payment has been declined update your billing information to continue using our service,1
65,alert unusual login attempt detected verify your account by clicking here,1
66,you have a new secure message from your bank click here to read it,1
67,alert unusual login attempt detected verify your account by clicking here,1
68,your package delivery is pending please provide your personal information to confirm delivery,1
69,dear drew your account has been compromised click the link to reset your password immediately,1
70,congratulations youve won a  gift card click here to claim your prize,1
71,your payment has been declined update your billing information to continue using our service,1
72,important update your email account settings to avoid service interruption,1
73,dear john your account has been compromised click the link to reset your password immediately,1
74,important update your email account settings to avoid service interruption,1
75,dear chris your subscription has been successfully renewed thank you for your continued support,0
76,hello morgan here is your weekly update on the projects progress please review and provide feedback,0
77,your subscription is about to expire renew now to continue enjoying our services,1
78,hi jane just a reminder about the project deadline next friday lets ensure everything is on track,0
79,alert unusual login attempt detected verify your account by clicking here,1
80,please find attached the minutes from our last meeting let me know if you have any questions,0
81,welcome to our newsletter stay tuned for the latest updates and offers,0
82,congratulations youve won a  gift card click here to claim your prize,1
83,you have a new secure message from your bank click here to read it,1
84,hello drew here is your weekly update on the projects progress please review and provide feedback,0
85,your invoice is attached please review and pay promptly to avoid penalties,1
86,hi drew just a reminder about the project deadline next friday lets ensure everything is on track,0
87,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
88,dear sam your subscription has been successfully renewed thank you for your continued support,0
89,you have a new secure message from your bank click here to read it,1
90,hi john please find the attached report for this months performance review,0
91,hello taylor here is your weekly update on the projects progress please review and provide feedback,0
92,congratulations youve won a  gift card click here to claim your prize,1
93,dear morgan we are pleased to inform you about our upcoming webinar register now to secure your spot,0
94,your package delivery is pending please provide your personal information to confirm delivery,1
95,we noticed some unusual activity in your account log in to review recent transactions,1
96,your package delivery is pending please provide your personal information to confirm delivery,1
97,your invoice is attached please review and pay promptly to avoid penalties,1
98,dear chris we are pleased to inform you about our upcoming webinar register now to secure your spot,0
99,your payment has been declined update your billing information to continue using our service,1
100,you have a new secure message from your bank click here to read it,1
101,alert unusual login attempt detected verify your account by clicking here,1
102,hi chris please find the attached report for this months performance review,0
103,hi jane it was great meeting you at the conference lets catch up for coffee next week,0
104,you have a new secure message from your bank click here to read it,1
105,hi morgan it was great meeting you at the conference lets catch up for coffee next week,0
106,your payment has been declined update your billing information to continue using our service,1
107,dear alex we are pleased to inform you about our upcoming webinar register now to secure your spot,0
108,hello casey here is your weekly update on the projects progress please review and provide feedback,0
109,hi jane please find the attached report for this months performance review,0
110,hi sam please find the attached report for this months performance review,0
111,please find attached the minutes from our last meeting let me know if you have any questions,0
112,dear jordan your subscription has been successfully renewed thank you for your continued support,0
113,dear taylor your subscription has been successfully renewed thank you for your continued support,0
114,alert unusual login attempt detected verify your account by clicking here,1
115,your package delivery is pending please provide your personal information to confirm delivery,1
116,your payment has been declined update your billing information to continue using our service,1
117,your payment has been declined update your billing information to continue using our service,1
118,important update your email account settings to avoid service interruption,1
119,hello john here is your weekly update on the projects progress please review and provide feedback,0
120,alert unusual login attempt detected verify your account by clicking here,1
121,alert unusual login attempt detected verify your account by clicking here,1
122,you have a new secure message from your bank click here to read it,1
123,important update your email account settings to avoid service interruption,1
124,dear morgan thank you for your purchase your order will be shipped soon,0
125,your invoice is attached please review and pay promptly to avoid penalties,1
126,dear casey thank you for your purchase your order will be shipped soon,0
127,dear jordan we are pleased to inform you about our upcoming webinar register now to secure your spot,0
128,dear drew your account has been compromised click the link to reset your password immediately,1
129,your package delivery is pending please provide your personal information to confirm delivery,1
130,please find attached the minutes from our last meeting let me know if you have any questions,0
131,alert unusual login attempt detected verify your account by clicking here,1
132,dear jordan your subscription has been successfully renewed thank you for your continued support,0
133,your payment has been declined update your billing information to continue using our service,1
134,your invoice is attached please review and pay promptly to avoid penalties,1
135,hi taylor just a reminder about the project deadline next friday lets ensure everything is on track,0
136,alert unusual login attempt detected verify your account by clicking here,1
137,welcome to our newsletter stay tuned for the latest updates and offers,0
138,we noticed some unusual activity in your account log in to review recent transactions,1
139,important update your email account settings to avoid service interruption,1
140,hi chris just a reminder about the project deadline next friday lets ensure everything is on track,0
141,your payment has been declined update your billing information to continue using our service,1
142,your subscription is about to expire renew now to continue enjoying our services,1
143,your package delivery is pending please provide your personal information to confirm delivery,1
144,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
145,you have a new secure message from your bank click here to read it,1
146,dear alex your account has been compromised click the link to reset your password immediately,1
147,hi casey please find the attached report for this months performance review,0
148,hello jordan here is your weekly update on the projects progress please review and provide feedback,0
149,dear casey your account has been compromised click the link to reset your password immediately,1
150,important update your email account settings to avoid service interruption,1
151,your payment has been declined update your billing information to continue using our service,1
152,hello john here is your weekly update on the projects progress please review and provide feedback,0
153,you have a new secure message from your bank click here to read it,1
